Liste des mots et leur découpe syllabique (Lexique 4 / syllabation orale → orthographe)
==================================================

abricot	a-bri-cot
ail	ail
amande	a-mande
ananas	a-na-nas
aubergine	au-ber-gine
avocat	a-vo-cat
banane	ba-na-ne
beurre	beurre
biscuit	bis-cuit
bonbon	bon-bon
broccoli	broc-co-li
burger	bur-ger
carotte	ca-rotte
cerise	ce-rise
champignon	cha-mpi-gnon
chocolat	cho-co-lat
citron	ci-tron
citrouille	ci-trouille
confiture	con-fi-ture
crêpe	crêpe
croissant	croiss-ant
eau	eau
farine	fa-rine
fraise	frai-se
frités	fri-tés
fromage	fro-ma-ge
gâteau	gât-eau
gaufre	gau-fre
glace	glace
haricot	ha-ri-cot
huile	huile
jambon	jam-bon
jus d'orange	jus d'o-ran-ge
kiwi	ki-wi
lait	lait
melon	me-lon
miel	miel
noisette	nois-ette
noix	noix
oeuf	oeuf
oignon	oi-gnon
olive	o-live
orange	o-range
pain	pain
patés	pa-tés
pêche	pêche
petit pois	pe-tit pois
pizza	piz-za
poire	poire
poisson	pois-son
poivron	poi-vron
pomme	pom-me
pomme de terre	pom-me de terre
poulet	pou-let
purée	pu-rée
quiche	qui-che
radis	ra-dis
raisin	rai-sin
riz	riz
salade	sa-lade
sandwich	sandwich
saucisson	sau-cis-son
sel	sel
soupe	soupe
sucre	sucre
tarte	tarte
tomate	to-mate
viande	viande
vinaigre	vi-nai-gre
yaourt	ya-ourt
abeille	a-beille
aigle	aigle
âne	âne
araignée	a-rai-gnée
autruche	au-truche
baleine	ba-leine
biche	biche
canard	canard
castor	cas-tor
chameau	cha-meau
chat	chat
chauve-souris	chauv-e-souris
cheval	che-val
chèvre	chèvre
chien	chien
coccinelle	coc-ci-nelle
cochon	cochon
crabe	crabe
crevette	crev-ette
crocodile	cro-co-dile
cygne	cygne
dauphin	dau-phin
dindon	din-don
écureuil	é-cu-reuil
éléphant	é-lé-phant
escargot	es-car-got
flamant rose	flam-ant ro-se
fourmi	fou-rmi
girafe	gi-rafe
gorille	go-rille
grenouille	grenouille
hérisson	hé-ris-son
hibou	hibou
hippopotame	hi-ppo-po-ta-me
kangourou	kan-gou-rou
koala	ko-a-la
lapin	la-pin
libellule	li-be-llule
lion	lion
loup	loup
marmotte	marm-otte
méduse	mé-du-se
mouche	mouche
moustique	mous-tique
mouton	mou-ton
oiseau	ois-eau
ours	ours
panda	panda
papillon	pa-pi-llon
perroquet	per-roquet
pieuvre	pieuvre
pigeon	pig-eon
pingouin	pin-gouin
poisson	pois-son
poule	pou-le
poussin	pou-ssin
renard	renard
requin	requin
rhinocéros	rhi-no-cé-ros
serpent	serp-ent
singe	singe
souris	sou-ris
taureau	tau-reau
tigre	tigre
tortue	tor-tue
vache	vache
veau	veau
zèbre	zèbre
bouché	bou-ché
bras	bras
cheveux	che-veux
cheville	che-vi-lle
coeur	coeur
cou	cou
coude	coude
dent	dent
doigt	doigt
dos	dos
épaule	é-pau-le
fessé	fe-ssé
genou	genou
jambe	jambe
langue	lan-gue
main	main
nez	nez
oeil	oeil
ongle	ongle
oreille	o-reille
orteil	or-teil
pied	pied
poignet	poignet
poitrine	poi-trine
pouce	pouce
squelette	sque-lette
talon	ta-lon
tête	tête
ventre	ventre
visage	vi-sage
ardoise	ar-doise
bibliotheque	bi-blio-thèque
bureau	bur-eau
cahier	cah-ier
calculatrice	cal-cu-la-trice
cantine	can-tine
cartable	car-table
chaise	chaise
ciseaux	cis-eaux
classe	classe
classeur	clas-seur
colle	colle
craie	craie
crayon	cra-yon
dictionnaire	dic-tion-naire
école	é-co-le
feuille	feuille
feutré	fe-utré
gomme	gomme
gymnase	gym-nase
livre	li-vre
papier	pa-pier
peinture	pein-ture
pinceau	pin-ceau
récréation	ré-cré-a-tion
règle	règle
stylo	sty-lo
tableau	ta-bleau
taille-crayon	tail-le-crayon
troussé	trou-ssé
armoire	ar-moire
arrosoir	ar-ro-soir
aspirateur	as-pi-ra-teur
assiette	a-ssiette
baignoire	bai-gnoire
balai	ba-lai
balcon	bal-con
boîte	boîte
bol	bol
brosse	brosse
brosse a dents	brosse a dents
bureau	bur-eau
cadre	cadre
canapé	cana-pé
casserole	ca-ss-erole
chaise	chaise
cheminée	ch-em-inée
ciseaux	cis-eaux
clé	clé
clôture	clô-ture
colle	colle
coussin	cou-ssin
couteau	cou-teau
couverture	cou-ver-ture
cuillère	cuil-lère
dentifrice	den-ti-frice
douche	douche
drap	drap
échelle	é-chelle
escalier	es-ca-lier
étagère	é-ta-gère
fauteuil	fau-teuil
fenêtre	fenêtre
fer a repasser	fer a re-pa-sser
four	four
fourchette	fourchette
frigo	fri-go
garage	ga-rage
horloge	ho-rloge
jardin	jar-din
journal	jou-rnal
lampe	lampe
lavabo	la-va-bo
lit	lit
lunettes	lun-ettes
machine a laver	ma-chine a la-ver
